UIC,species_latin,species_local,country,province,site_name,replicates,start_date_year.month,monitoring_date_year.month,duration_months,height_cm,height_sd,number_planted,height_0,RGRm,seedling_trt_type,site_trt_type,Sseedling_trt_type,Ssite_trt_type,planting_density.m2,ENSO
BUDI2018REGP_Paludiculture,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-1,2018-12,2,26.46,NA,50,NA,0.020715113,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,28,NA,50,28,0.020715113,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-7,8,75.2,NA,50,28,0.020715113,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,350,NA,NA,29.5,0.046089467,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,29.5,NA,NA,29.5,0.046089467,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,43.8,NA,NA,29.5,0.046089467,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Calophyllum inophyllum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,53.3,NA,NA,29.5,0.046089467,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,139.4,NA,NA,32.2,0.039733402,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,44.6,NA,NA,32.2,0.039733402,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,53.17,NA,NA,32.2,0.039733402,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Homalium caryophyllaceum,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,32.2,NA,NA,32.2,0.039733402,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,366.5,NA,NA,67.6,0.056582494,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,127.9,NA,NA,67.6,0.056582494,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,84.5,NA,NA,67.6,0.056582494,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea balangeran,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,67.6,NA,NA,67.6,0.056582494,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,55.7,NA,NA,34.2,0.047902162,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,34.2,NA,NA,34.2,0.047902162,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea leprosula,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,65.1,NA,NA,34.2,0.047902162,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,63.6,NA,NA,48.8,0.021262294,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,184.5,NA,NA,48.8,0.021262294,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,58.9,NA,NA,48.8,0.021262294,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Shorea selanica,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,48.8,NA,NA,48.8,0.021262294,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,55.7,NA,NA,66.5,NA,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,195,NA,NA,66.5,NA,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,68.6,NA,NA,66.5,NA,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Stemonurus scorpioides,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,0,66.5,NA,NA,66.5,NA,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,12,86.1,NA,NA,42.9,0.056733825,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,6,62.9,NA,NA,42.9,0.056733825,none,none,none,none,NA,NA
DARY2016PHR_PTWKS,Xylopia fusca,NA,Indonesia,Jambi,PT WKS,NA,NA,NA,24,192,NA,NA,42.9,0.056733825,none,none,none,none,NA,NA
