ID,X,Y,Area,City,Country,Continent,GridEPSG,dCenter,TransportSource,RushHour,TransportYear,DistanceDriving,DurationDriving,DistanceTransit,DurationTransit
36,561002,6196101,1005591,Montevideo,Uruguay,South_America,32721,60294.5435582551,Google,17h00,2020,74217.658703615,5651.25353130313,NA,NA
37,562002,6196101,1005590,Montevideo,Uruguay,South_America,32721,60101.7636954051,Google,17h00,2020,73792.3126180339,5631.51501465168,NA,NA
38,563002,6196101,1005587,Montevideo,Uruguay,South_America,32721,59925.0533224487,Google,17h00,2020,74297.6944281967,5670.52069530082,NA,NA
39,564002,6196101,1005583,Montevideo,Uruguay,South_America,32721,59764.5549811786,Google,17h00,2020,74803.0762383595,5709.52637594995,NA,NA
40,565002,6196101,1005581,Montevideo,Uruguay,South_America,32721,59620.3996002905,Google,17h00,2020,75308.4580485222,5748.53205659909,NA,NA
41,566002,6196101,1005576,Montevideo,Uruguay,South_America,32721,59492.7059806353,Google,17h00,2020,75813.839858685,5787.53773724823,NA,NA
42,567002,6196101,1005573,Montevideo,Uruguay,South_America,32721,59381.5803199807,Google,17h00,2020,76319.2216688478,5826.54341789737,NA,NA
43,568002,6196101,1005571,Montevideo,Uruguay,South_America,32721,59287.1157815787,Google,17h00,2020,76649.0447877856,5850.06213137778,NA,NA
44,569002,6196101,1005567,Montevideo,Uruguay,South_America,32721,59209.3921105285,Google,17h00,2020,76974.8441914347,5873.22589150251,NA,NA
45,570002,6196101,1005563,Montevideo,Uruguay,South_America,32721,59148.4753015521,Google,17h00,2020,77300.6435950839,5896.38965162724,NA,NA
46,571002,6196101,1005560,Montevideo,Uruguay,South_America,32721,59104.4173213671,Google,17h00,2020,77340.5437548999,5898.31101028088,NA,NA
47,572002,6196101,1005556,Montevideo,Uruguay,South_America,32721,59077.2558883562,Google,17h00,2020,76855.3963054862,5861.22117059363,NA,NA
48,573002,6196101,1005552,Montevideo,Uruguay,South_America,32721,59067.0143116979,Google,17h00,2020,76370.2488560724,5824.13133090638,NA,NA
49,574002,6196101,1005551,Montevideo,Uruguay,South_America,32721,59073.7013915526,Google,17h00,2020,77245.1665777204,5885.14836746929,NA,NA
