Study_ID;Short_citation;Year;Growth_Habit;Species_Status;Mechanism;Disturbance_type;Ln_Overall;Ln_Overall_Var;Ln_Abundance;Ln_Abundance_Var;Ln_Biomass;Ln_Biomass_Var;Ln_Reproduction;Ln_Reproduction_Var;Ln_Richness;Ln_Richness_Var;Ln_Survival;Ln_Survival_Var;Ln_Damage;Ln_Damage_Var;Ln_HerbLoad;Ln_HerbLoad_Var;ETP;Latitude_Abs;Precipitation;Temperature
67;Han et al. ;2008;Forb;Invasive;Enemy Release;NA;1.03;0.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.03;0.04;NA;NA;1481;39;805;11.4
67;Han et al. ;2008;Grass;Invasive;Enemy Release;NA;0.89;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.89;0.01;NA;NA;1481;39;805;11.4
69;Hartley et al. ;2010;Tree;Invasive;Enemy Release;NA;1.17;1.84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1.84;0.34;1.84;1621;29;1154;20.6
72;Hawkes et al.;2010;Forb;Exotic;Enemy Release;NA;1;1.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1.76;0;0.74;767;53;621;9.3
72;Hawkes et al.;2010;Forb;Exotic;Enemy Release;NA;2.18;0.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0.72;1.24;0.23;767;53;621;9.3
74;Hill & Kotanen ;2010;Forb;Exotic;Enemy Release;NA;0.65;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.65;2;NA;NA;897;44;810;6.5
84;Leger et al. ;2007;Shrub;Invasive;Enemy Release;NA;0.13;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.13;0.01;NA;NA;1192;40;1139;10.6
84;Leger et al. ;2007;Shrub;Invasive;Enemy Release;NA;-0.54;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.54;0.01;NA;NA;1192;40;1139;10.6
84;Leger et al. ;2007;Shrub;Invasive;Enemy Release;NA;0.37;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.37;0.01;NA;NA;1206;40;1147;10.9
84;Leger et al. ;2007;Shrub;Invasive;Enemy Release;NA;-0.18;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.18;0.01;NA;NA;1206;40;1147;10.9
84;Leger et al. ;2007;Tree;Invasive;Enemy Release;NA;-0.52;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.52;0.02;NA;NA;1192;40;1139;10.6
84;Leger et al. ;2007;Tree;Invasive;Enemy Release;NA;-0.26;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.26;0.08;NA;NA;1206;40;1147;10.9
84;Leger et al. ;2007;Vine;Invasive;Enemy Release;NA;-0.32;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.32;0.03;NA;NA;1192;40;1139;10.6
84;Leger et al. ;2007;Vine;Invasive;Enemy Release;NA;-0.55;0.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.55;0.04;NA;NA;1192;40;1139;10.6
84;Leger et al. ;2007;Vine;Invasive;Enemy Release;NA;-0.02;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.02;0.03;NA;NA;1206;40;1147;10.9
84;Leger et al. ;2007;Vine;Invasive;Enemy Release;NA;-0.34;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.34;0.02;NA;NA;1206;40;1147;10.9
90;Lieurance & Cipollini;2013;Shrub;Exotic;Enemy Release;NA;1.76;0.53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.76;0.53;NA;NA;1163;40;950;101
92;Liu et al.;2007;Shrub;Invasive;Enemy Release;NA;1.09;0.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.09;0.34;NA;NA;1915;26;1508;24
94;Schierenbeck et al.;1994;Vine;Exotic;Enemy Release;NA;0.36;0.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.36;0.26;NA;NA;1568;33;1180;17.3
502;Schulteis et al.;2015;Mixed;Invasive;Enemy Release;NA;-1.03;0.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.03;0.22;NA;NA;1088;42;912;8.8
503;Schutzenhofer et al. ;2009;Forb;Invasive;Enemy Release;NA;2.32;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.32;0.06;NA;NA;1348;38;992;12.6
505;Siemann & Rogers;2003;Tree;Invasive;Enemy Release;NA;0.75;0.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.75;0.21;NA;NA;1621;29;1070;20.6
505;Siemann & Rogers;2003;Tree;Invasive;Enemy Release;NA;0.93;0.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.93;0.14;NA;NA;1733;29;1410;20.1
505;Siemann & Rogers;2003;Tree;Invasive;Enemy Release;NA;0.29;0.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.29;0.14;NA;NA;1522;30;1420;19.2
506;Siemann & Rogers;2006;Tree;Invasive;Enemy Release;NA;0.64;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.64;0.05;NA;NA;1621;29;1154;20.6
514;Van del Colff et al.;2015;Tree;Invasive;Enemy Release;NA;0.32;0.0003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.32;0.0003;1415;33;994;15.9
524;White et al. ;2008;Forb;Exotic;Enemy Release;NA;0.65;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.65;0.01;NA;NA;1528;28;1046;15.9
