UIC,species_latin,species_local,country,province,site_name,replicates,start_date_year.month,monitoring_date_year.month,duration_months,survival_per,survival_sd,number_planted,half_life,seedling_trt_type,site_trt_type,Sseedling_trt_type,Ssite_trt_type,planting_density.m2,ENSO
DARY2016PHR_HLG,Diospyros malam,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,56,NA,50,9.905660377,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Gonystylus bancanus,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,37,7.271242919,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Gonystylus bancanus,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,45.9,NA,37,7.271242919,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Gonystylus bancanus,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,27,NA,37,7.271242919,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Homalium caryophyllaceum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,48.8,NA,43,12.37476597,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Homalium caryophyllaceum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,90.7,NA,43,12.37476597,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Homalium caryophyllaceum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,43,12.37476597,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Hopea odorata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,73.3,NA,45,9.304929695,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Hopea odorata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,45,9.304929695,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Hopea odorata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,33.3,NA,45,9.304929695,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Lithocarpus bennettii,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,20,10.33257592,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Lithocarpus bennettii,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,50,NA,20,10.33257592,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Lithocarpus bennettii,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,60.7,NA,20,10.33257592,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Schleichera oleosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,61,7.49222726,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Schleichera oleosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,18.03,NA,61,7.49222726,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Schleichera oleosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,64.29,NA,61,7.49222726,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea balangeran,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,18,8.998197122,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea balangeran,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,33.3,NA,18,8.998197122,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea balangeran,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,66.7,NA,18,8.998197122,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea fallax,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,87.5,NA,24,12.70588235,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea fallax,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,50,NA,24,12.70588235,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea fallax,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,24,12.70588235,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea guiso,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,63.2,NA,19,10.33729677,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea guiso,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,19,10.33729677,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea guiso,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,47.4,NA,19,10.33729677,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea javanica,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,104,11.30317261,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea javanica,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,47.1,NA,104,11.30317261,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea javanica,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,73.1,NA,104,11.30317261,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea johorensis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,57.2,NA,21,7.002799594,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea johorensis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,14.3,NA,21,7.002799594,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea johorensis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,21,7.002799594,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea leprosula,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,43.1,NA,58,9.894350326,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea leprosula,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,58,9.894350326,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea leprosula,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,63.8,NA,58,9.894350326,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea ovalis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,19.3,NA,31,7.376543583,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea ovalis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,31,7.376543583,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea ovalis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,58.1,NA,31,7.376543583,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea selanica,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,39.7,NA,83,10.10360223,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea selanica,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,83,10.10360223,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea selanica,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,72.3,NA,83,10.10360223,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea seminis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,81.1,NA,30,11.77261499,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea seminis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,30,11.77261499,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea seminis,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,46.7,NA,30,11.77261499,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea smithiana,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,36.1,NA,36,9.93787396,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea smithiana,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,83.3,NA,36,9.93787396,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea smithiana,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,36,9.93787396,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea uliginosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,34,12.55623256,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea uliginosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,50,NA,34,12.55623256,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea uliginosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,82.4,NA,34,12.55623256,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea virenscens,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,36,4.5,none,none,none,none,NA,neutral
