Source,Neighbor species,Focal species,Visitation,Reproductive Success,d (vis),var (d vis),d (rep),var (d rep),Min. Distance ('control' to nearest neighbour),Treatment Arrangement,Interaction type,Study approach,Phylo,Symmetry,Colour,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32
Gibson 2013,Acacia saligna,Ursinia anthemoides,yes,no,1.8027337718,0.937487421,NA,NA,30,natural,alien,observational,238.331007,S,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakobson 2009,Oxalis pes-caprae L.,Diplotaxis erucoides L.,yes,no,0.013,0.083,NA,NA,1,natural,alien,observational,235.069517,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakobson 2009,Oxalis pes-caprae,Diplotaxis erucoides,yes,no,-0.717,0.089,NA,NA,200,natural,alien,experimental,235.069517,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennersten 1991,Viscaria vulgaris Bernh.,Melampyrum pratense L.,yes,no,-0.464,0.686,NA,NA,150,natural,native,observational,233.394577,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jennersten 1991,Viscaria vulgaris,Melampyrum pratense,yes,no,0.238,0.038,NA,NA,150,natural,native,observational,233.394577,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jennersten 1991, Kwak 1991",Melampyrum pratense,Viscaria vulgaris,yes,no,-0.45,0.517,NA,NA,150,natural,native,observational,233.394577,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jennersten 1991, Kwak 1991",Melampyrum pratense,Viscaria vulgaris,yes,yes,-0.41,0.038,-0.125,0.057,150,natural,native,observational,233.394577,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson 2003,Allium schoenoprasum L.,"Anacamptis morio (L.) Batema, Pridgeon & M.W. Chase",yes,no,0.617,0.075,NA,NA,20,interspersed,native,experimental,247.7282,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson 2003,Geum rivale L.,Anacamptis morio,yes,no,0.665,0.101,NA,NA,20,interspersed,native,experimental,376.566217,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jones 2004,Taraxacum officinale Weber,Delphinium nuttalianum Pritzel,no,yes,NA,NA,0.189,0.251,12.5,natural,alien,experimental,273.800934,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiser 2008,various,Syzygium mamillatum,no,yes,NA,NA,0.483,0.386,NA,NA,alien,experimental,N/A,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiser 2009,Psidium cattleianum Sabine,Bertiera zaluzania Gaertner f.,yes,yes,-0.335,0.372,0.045,0.211,5,natural,alien,experimental,238.330981,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
