STUDY_ID,Short_Citation,First Author Last,Pub_Year,Country,Continent,OVERALL_Analysis,GERMINATION_Analysis,SURVIVAL_Analysis,GROWTH_Analysis,COVER_Analysis,LnRR_GERM,ESTVAR3_GERM,LnRR_SURVIVAL,ESTVAR3_SURVIVAL,LnRR_GROWTH,ESTVAR3_GROWTH,LnRR_COVER,ESTVAR3_COVER,LnRR_AVG,ESTVAR3_AVG,ESTVAR1,Soil reps (n),Control reps (n),Experimental location,BIOCRUST_TYPE,ECOSYSTEM_OF_ORIGIN,PLANT_FUNCTIONAL_GROUP,PLANT_NATIVENESS,PLANT_DURATION,PLANT_ROOT_MORPHOLOGY,SOIL_REFERENCE_STATE,STUDY_LOCATION,Plant_Species,Plant_Common_Name,Plant_Family,Plant_Lifeform,Lat_Y,Long_X,Aridity_Index,BIOCLIM_MAT,BIOCLIM_MAP
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,0.22724012199999999,9.2626633E-2,0.55961471699999998,7.4543973999999999E-2,-0.342931555,0.102633461,NA,NA,0.14797442799999999,8.9934688999999998E-2,0.58333333300000001,3,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Senecio macrocarpus,Large fruit fireweed/groundsel,Asteraceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,0.29408758899999998,4.6183083E-2,0.22567174200000001,3.346702E-3,2.1978424E-2,1.4235407E-2,NA,NA,0.180579252,2.1255064000000001E-2,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Velleia paradoxa,Spur vellaia,Goodeniaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-0.97343084499999999,0.54108668599999998,0.28768173899999999,1.4925908999999999E-2,0.474444488,0.15829961200000001,NA,NA,-7.0434872999999995E-2,0.238104069,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Velleia paradoxa,Spur vellaia,Goodeniaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,0.28926257100000002,4.3751199999999997E-2,0.19415576200000001,1.8558007000000001E-2,-0.273691397,6.9757916000000003E-2,NA,NA,6.9908978999999996E-2,4.4022374000000003E-2,0.58333333300000001,3,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Velleia paradoxa,Spur vellaia,Goodeniaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2645,Beyschlag et al. (2008),Beyschlag,2008,Germany,Europe,Yes,Yes,No,Yes,No,8.0507007000000005E-2,4.7066679999999998E-3,NA,NA,0.50209194400000001,0.253628256,NA,NA,0.29129947499999997,0.12916746200000001,0.26666666700000002,10,6,Bielefeld,Cyanobacteria,Other,Non N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Greenhouse,Lepidium sativum,gardencress pepperweed,Brassicaceae,Forb,52.01,8.31,1.258,9,826
2645,Beyschlag et al. (2008),Beyschlag,2008,Germany,Europe,Yes,Yes,No,Yes,No,9.6264188000000001E-2,4.2243569999999998E-3,NA,NA,0.59783700100000003,0.21678040200000001,NA,NA,0.34705059500000002,0.11050238,0.26666666700000002,10,6,Bielefeld,Cyanobacteria,Other,Non N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Greenhouse,Lepidium sativum,gardencress pepperweed,Brassicaceae,Forb,52.01,8.31,1.258,9,826
2661,Karlsdottir & Aradottir (2006),Karlsdottir,2006,Iceland,Europe,Yes,No,Yes,No,No,NA,NA,1.360587794,1.9872510000000002E-3,NA,NA,NA,NA,1.360587794,1.9872510000000002E-3,0.1,20,20,Vakalág,NA,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Dryas octopetala,eightpetal mountain-avens,Rosaceae,Forb,63.85,-20.306000000000001,2.613,4.9000000000000004,1258
2661,Karlsdottir & Aradottir (2006),Karlsdottir,2006,Iceland,Europe,Yes,No,Yes,No,No,NA,NA,1.0240516959999999,2.0924659999999999E-3,NA,NA,NA,NA,1.0240516959999999,2.0924659999999999E-3,0.1,20,20,Vakalág,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Dryas octopetala,eightpetal mountain-avens,Rosaceae,Forb,63.85,-20.306000000000001,2.613,4.9000000000000004,1258
2661,Karlsdottir & Aradottir (2006),Karlsdottir,2006,Iceland,Europe,Yes,No,Yes,No,No,NA,NA,-3.6451213000000003E-2,1.4716410000000001E-3,NA,NA,NA,NA,-3.6451213000000003E-2,1.4716410000000001E-3,0.1,20,20,Vakalág,NA,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Alchemilla alpina,alpine lady's mantle,Rosaceae,Forb,63.85,-20.306000000000001,2.613,4.9000000000000004,1258
2661,Karlsdottir & Aradottir (2006),Karlsdottir,2006,Iceland,Europe,Yes,No,Yes,No,No,NA,NA,-0.15465225599999999,1.5075570000000001E-3,NA,NA,NA,NA,-0.15465225599999999,1.5075570000000001E-3,0.1,20,20,Vakalág,Moss,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Alchemilla alpina,alpine lady's mantle,Rosaceae,Forb,63.85,-20.306000000000001,2.613,4.9000000000000004,1258
2688,Zhuang et al. (2015),Zhuang,2015,China,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.30459140099999998,1.8647666810000001,NA,NA,-0.30459140099999998,1.8647666810000001,0.222222222,9,9,"Gurbantünggüt Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust removal,Field,Erodium oxyrhinchum,Storks bill,Geraniaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2688,Zhuang et al. (2015),Zhuang,2015,China,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.125359529,1.320645786,NA,NA,-0.125359529,1.320645786,0.222222222,9,9,"Gurbantunggut Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Annual,Tap,Biocrust removal,Field,Alyssum linifolium,NA,Brassicaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2688,Zhuang et al. (2015),Zhuang,2015,China,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.29181442000000002,1.8101101420000001,NA,NA,-0.29181442000000002,1.8101101420000001,0.222222222,9,9,"Gurbantunggut Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Annual,Tap,Biocrust removal,Field,Centaurea pulchella,NA,Asteraceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,Yes,No,No,No,-1.978830506,2.2932837000000001E-2,NA,NA,NA,NA,NA,NA,-1.978830506,2.2932837000000001E-2,0.33333333300000001,6,6,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Greenhouse,Brassica rapa,field mustard,Brassicaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,Yes,No,No,No,-0.58384187799999998,3.6376540000000001E-3,NA,NA,NA,NA,NA,NA,-0.58384187799999998,3.6376540000000001E-3,0.33333333300000001,6,6,"Lakeforest, California",Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Greenhouse,Bromus madritensis,compact brome,Poaceae,Grass,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,Yes,No,No,No,-1.150558357,2.1174927999999999E-2,NA,NA,NA,NA,NA,NA,-1.150558357,2.1174927999999999E-2,0.33333333300000001,6,6,"Lakeforest, California",Moss,Semi-Arid,C4 Grass,Non-Native,Perennial,Fibrous,Biocrust disturbance,Greenhouse,Pennisetum setaceum,crimson fountaingrass,Poaceae,Grass,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,Yes,No,No,No,0,4.7308430000000002E-3,NA,NA,NA,NA,NA,NA,0,4.7308430000000002E-3,0.33333333300000001,6,6,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Greenhouse,Artemisia californica,California sagebrush,Asteraceae,Shrub,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,Yes,No,No,No,-8.5471605000000006E-2,1.4356289999999999E-3,NA,NA,NA,NA,NA,NA,-8.5471605000000006E-2,1.4356289999999999E-3,0.33333333300000001,6,6,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Native,Annual,Tap,Biocrust disturbance,Greenhouse,Lepidium lasiocarpum,shaggyfruit pepperweed,Brassicaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,Yes,No,No,No,-1.132835343,1.6572041999999999E-2,NA,NA,NA,NA,NA,NA,-1.132835343,1.6572041999999999E-2,0.33333333300000001,6,6,"Lakeforest, California",Moss,Semi-Arid,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Greenhouse,Nassella pulchra,purple needlegrass,Poaceae,Grass,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.7282455839999999,1.5322295E-2,-1.7282455839999999,1.5322295E-2,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Field,Agallis arvensis,scarlet pimpernel,Primulaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.68531307900000005,8.9969449999999992E-3,-0.68531307900000005,8.9969449999999992E-3,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Field,Avena barbata,slender oat,Poaceae,Grass,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-2.87349824,1.3442391999999999E-2,-2.87349824,1.3442391999999999E-2,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Field,Avena fatua,wild oat,Poaceae,Grass,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.91966463799999998,6.7786030000000002E-3,-0.91966463799999998,6.7786030000000002E-3,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Field,Bromus madritensis,compact brome,Poaceae,Grass,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-8.6483968769999997,0.33582774999999998,-8.6483968769999997,0.33582774999999998,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Field,Brassica rapa,field mustard,Brassicaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-8.6483968769999997,0.33582774999999998,-8.6483968769999997,0.33582774999999998,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Field,Crassula tillaea,moss pygmyweed,Crassulaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,8.6483968769999997,0.33582774999999998,8.6483968769999997,0.33582774999999998,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Perennial,Tap,Biocrust disturbance,Field,Marrubium vulgare,horehound,Lamiaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.6122990589999999,1.4589970000000001E-2,1.6122990589999999,1.4589970000000001E-2,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Artemisia californica,California sagebrush,Asteraceae,Shrub,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.2245476259999999,1.5432828000000001E-2,1.2245476259999999,1.5432828000000001E-2,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Native,Annual,Tap,Biocrust disturbance,Field,Cuscuta sp.,Dodder,Cuscutaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.37275909899999998,1.0911311E-2,-0.37275909899999998,1.0911311E-2,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Heuchera sp.,alumroot,Saxifragaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.27322043299999998,9.5755010000000002E-3,0.27322043299999998,9.5755010000000002E-3,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Fibrous,Biocrust disturbance,Field,Liliaceae sp.,NA,Liliaceae,Forb,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.7432192369999999,1.433368E-2,-1.7432192369999999,1.433368E-2,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Lotus scoparius,common deerweed,Fabaceae,Shrub,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,9.4255323939999993,0.33309772100000001,9.4255323939999993,0.33309772100000001,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust disturbance,Field,Diplacus aurantiacus,orange bush monkeyflower,Scrophulariaceae,Shrub,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.2158230000000001,5.1395599999999996E-3,-1.2158230000000001,5.1395599999999996E-3,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Community,Non-Native,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2233,Hernandez & Sandquist (2011),Hernanzez,2011,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.15658075900000001,6.0215879999999996E-3,0.15658075900000001,6.0215879999999996E-3,0.18181818199999999,11,11,"Lakeforest, California",Moss,Semi-Arid,Community,Native,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,33.380000000000003,-117.41,0.28199999999999997,16.399999999999999,333
2656,Gheda & Ahmed (2015),Gheda,2015,Egypt,Africa,Yes,Yes,No,Yes,No,0.16251875299999999,1.1649348E-2,NA,NA,0.38088286500000001,0.60925906699999999,NA,NA,0.27170080899999999,0.31045420800000001,0.66666666699999999,3,3,Tanta City,Cyanobacteria,Hyper Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Triticum aestivum,wheat,Poaceae,Grass,30.832999999999998,31,3.2000000000000001E-2,19.8,54
2656,Gheda & Ahmed (2015),Gheda,2015,Egypt,Africa,Yes,Yes,No,Yes,No,0.16251875299999999,1.1649348E-2,NA,NA,0,8.7715451E-2,NA,NA,8.1259376999999994E-2,4.9682400000000002E-2,0.66666666699999999,3,3,Tanta City,Cyanobacteria,Hyper Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Triticum aestivum,wheat,Poaceae,Grass,30.832999999999998,31,3.2000000000000001E-2,19.8,54
2656,Gheda & Ahmed (2015),Gheda,2015,Egypt,Africa,Yes,Yes,No,Yes,No,0.16251875299999999,1.1649348E-2,NA,NA,6.4124528E-2,0.20657900700000001,NA,NA,0.113321641,0.10911417800000001,0.66666666699999999,3,3,Tanta City,Cyanobacteria,Hyper Arid,C3 Grass,Non-Native,Annual,Fibrous,Bare soil,Greenhouse,Triticum aestivum,wheat,Poaceae,Grass,30.832999999999998,31,3.2000000000000001E-2,19.8,54
2681,Thiet et al. (2014),Thiet,2014,USA,North America,Yes,No,Yes,No,No,NA,NA,-0.13353110700000001,4.8114680000000002E-3,NA,5.9766940000000003E-3,NA,NA,-0.13353110700000001,5.3940810000000002E-3,0.25,8,8,Cape Cod,Moss,NA,C3 Grass,Native,Perennial,Fibrous,Bare soil,Greenhouse,Deschampsia flexuosa,wavy hairgrass,Poaceae,Grass,42.058,-70.179000000000002,NA,11,1100
2681,Thiet et al. (2014),Thiet,2014,USA,North America,Yes,No,Yes,No,No,NA,NA,0.13353124999999999,3.6455519999999998E-3,NA,6.8194509999999998E-3,NA,NA,0.13353124999999999,5.232502E-3,0.25,8,8,Cape Cod,Moss,NA,Non N-fixing Forb,Native,Perennial,Fibrous,Bare soil,Greenhouse,Matteuccia struthiopteris,ostrich fern,Dryopteridaceae,Forb,42.058,-70.179000000000002,NA,11,1100
2681,Thiet et al. (2014),Thiet,2014,USA,North America,Yes,No,Yes,No,No,NA,NA,0.22314315100000001,4.4827950000000004E-3,NA,5.9299679999999999E-3,NA,NA,0.22314315100000001,5.2063819999999999E-3,0.25,8,8,Cape Cod,Cyanobacteria,NA,C3 Grass,Native,Perennial,Fibrous,Bare soil,Greenhouse,Deschampsia flexuosa,wavy hairgrass,Poaceae,Grass,42.058,-70.179000000000002,NA,11,1100
2681,Thiet et al. (2014),Thiet,2014,USA,North America,Yes,No,Yes,No,No,NA,NA,0.13353124999999999,3.6455519999999998E-3,NA,6.0975259999999998E-3,NA,NA,0.13353124999999999,4.8715390000000003E-3,0.25,8,8,Cape Cod,Cyanobacteria,NA,Non N-fixing Forb,Native,Perennial,Fibrous,Bare soil,Greenhouse,Matteuccia struthiopteris,ostrich fern,Dryopteridaceae,Forb,42.058,-70.179000000000002,NA,11,1100
2681,Thiet et al. (2014),Thiet,2014,USA,North America,Yes,No,Yes,No,No,NA,NA,-0.470002429,5.1676379999999996E-3,NA,5.9483579999999999E-3,NA,NA,-0.470002429,5.5579979999999998E-3,0.25,8,8,Cape Cod,Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Bare soil,Greenhouse,Deschampsia flexuosa,wavy hairgrass,Poaceae,Grass,42.058,-70.179000000000002,NA,11,1100
2681,Thiet et al. (2014),Thiet,2014,USA,North America,Yes,No,Yes,No,No,NA,NA,-7.4107883999999999E-2,3.7993269999999999E-3,NA,6.5532430000000003E-3,NA,NA,-7.4107883999999999E-2,5.1762850000000001E-3,0.25,8,8,Cape Cod,Mixed,NA,Non N-fixing Forb,Native,Perennial,Fibrous,Bare soil,Greenhouse,Matteuccia struthiopteris,ostrich fern,Dryopteridaceae,Forb,42.058,-70.179000000000002,NA,10.69,1100
2663,Lan et al. (2013),Lan,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,0.76403665600000004,9.9737911999999998E-2,0.63431591899999995,9.9737911999999998E-2,0.69917628799999998,2,1,1,Inner Mongolia Autonomous Region,Cyanobacteria,Semi-Arid,Community,NA,NA,Community,Bare soil,Field,Community,Community,Community,NA,40.35,109.85,0.31,6.9,318
2663,Lan et al. (2013),Lan,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,7.8193927999999996E-2,0.39327140799999999,1.0731131E-2,0.39327140799999999,4.446253E-2,2,1,1,Inner Mongolia Autonomous Region,Cyanobacteria,Semi-Arid,Community,NA,NA,Community,Bare soil,Field,Community,Community,Community,NA,40.35,109.85,0.31,6.9,318
2663,Lan et al. (2013),Lan,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,0.59228444199999997,0.64719749999999998,0.120661053,0.64719749999999998,0.35647274800000001,2,1,1,Inner Mongolia Autonomous Region,Cyanobacteria,Semi-Arid,Community,NA,NA,Community,Bare soil,Field,Community,Community,Community,NA,40.35,109.85,0.31,6.9,318
2663,Lan et al. (2013),Lan,2013,China,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,0.17214104,0.73649589299999996,8.7050884999999995E-2,0.73649589299999996,0.12959596300000001,2,1,1,Inner Mongolia Autonomous Region,Cyanobacteria,Semi-Arid,Community,NA,NA,Community,Bare soil,Field,Community,Community,Community,NA,40.35,109.85,0.31,6.9,318
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,0.26783809600000003,0.82047867299999999,NA,NA,NA,NA,NA,NA,0.26783809600000003,0.82047867299999999,0.4,5,5,"Adirondack Park, New York",Moss,Other,C4 Grass,Native,Perennial,Fibrous,Bare soil,Field,Panicum virgatum,switchgrass,Poaceae,Grass,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,-0.95636544400000001,1.557665809,NA,NA,NA,NA,NA,NA,-0.95636544400000001,1.557665809,0.4,5,5,"Adirondack Park, New York",Cyanobacteria,Other,C4 Grass,Native,Perennial,Fibrous,Bare soil,Field,Panicum virgatum,switchgrass,Poaceae,Grass,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,2.3641141139999999,0.57488528000000005,NA,NA,NA,NA,NA,NA,2.3641141139999999,0.57488528000000005,0.4,5,5,"Adirondack Park, New York",Moss,Other,C4 Grass,Native,Perennial,Fibrous,Bare soil,Field,Panicum virgatum,switchgrass,Poaceae,Grass,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,0.28297518999999999,0.65885833599999999,NA,NA,NA,NA,NA,NA,0.28297518999999999,0.65885833599999999,0.4,5,5,"Adirondack Park, New York",Cyanobacteria,Other,C4 Grass,Native,Perennial,Fibrous,Bare soil,Field,Panicum virgatum,switchgrass,Poaceae,Grass,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,0.79301005199999997,0.335306716,NA,NA,NA,NA,NA,NA,0.79301005199999997,0.335306716,0.4,5,5,"Adirondack Park, New York",Moss,Other,N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Field,Melilotus officinalis,sweetclover,Fabaceae,Forb,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,0.31345842699999998,0.39395180800000001,NA,NA,NA,NA,NA,NA,0.31345842699999998,0.39395180800000001,0.4,5,5,"Adirondack Park, New York",Cyanobacteria,Other,N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Field,Melilotus officinalis,sweetclover,Fabaceae,Forb,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,2.9520189399999999,1.01659089,NA,NA,NA,NA,NA,NA,2.9520189399999999,1.01659089,0.4,5,5,"Adirondack Park, New York",Moss,Other,N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Field,Melilotus officinalis,sweetclover,Fabaceae,Forb,43.21,-74.25,1.284,6,1190
2651,Delach & Kimmerer (2002),Delach,2002,USA,North America,Yes,Yes,No,No,No,2.781614008,1.195847675,NA,NA,NA,NA,NA,NA,2.781614008,1.195847675,0.4,5,5,"Adirondack Park, New York",Cyanobacteria,Other,N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Field,Melilotus officinalis,sweetclover,Fabaceae,Forb,43.21,-74.25,1.284,6,1190
2685,Zamfir (2000),Zamfir,2000,Sweden,Europe,Yes,Yes,No,No,No,-1.567031931,1.0397592000000001E-2,NA,NA,NA,NA,NA,NA,-1.567031931,1.0397592000000001E-2,0.4,5,5,Öland,Moss,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Greenhouse,Arenaria serpyllifolia,thymeleaf sandwort,Caryophyllaceae,Forb,56.4,16.38,0.88500000000000001,7,1900
